ID_CCAA;CCAA;Sector;31/12/2018;31/12/2017;31/12/2016;31/12/2015;31/12/2014;31/12/2013;31/12/2012;31/12/2011;31/12/2010
15;NAVARRA (COMUNIDAD FORAL);Actividades inmobiliarias;1273284;1249500;1237622;1219571;1242398;1256881;1236019;1203213;1139254
15;NAVARRA (COMUNIDAD FORAL);Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;1207571;1141786;1060727;978211;860045;863459;903568;938416;888975
15;NAVARRA (COMUNIDAD FORAL);Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;3200971;3077594;2926747;2894486;2915093;2920085;2887331;3027184;3010034
15;NAVARRA (COMUNIDAD FORAL);Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;630969;634062;626183;633144;586411;587818;607125;623170;616304
16;PAÍS VASCO;Agricultura, ganadería, silvicultura y pesca;524183;537084;508975;450680;512554;484599;475304;435204;428038
16;PAÍS VASCO;Industrias extractivas, suministro de energía eléctrica, gas, suministro de agua, actividades de saneamiento, gestión de residuos;19297425;18885407;17461005;17056518;16563504;15938969;16371526;16882694;16390237
16;PAÍS VASCO;Industria manufacturera;17107940;16659010;15319659;14797892;14270976;13832181;14143105;14666658;14261737
16;PAÍS VASCO;Construcción;4430527;4037282;3882252;3702372;3545289;3693565;4132728;4648640;5317238
16;PAÍS VASCO;Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;13525621;13036876;12609611;11806738;11457191;11244159;11718114;11774399;11960560
16;PAÍS VASCO;Información y comunicaciones;2080140;2026125;1981165;1901135;1898361;1892991;1939478;1967474;2023183
16;PAÍS VASCO;Actividades financieras y de seguros;2300485;2157901;2062860;2028434;1969599;1832096;2073105;2124780;2312751
16;PAÍS VASCO;Actividades inmobiliarias;5508807;5417108;5388241;5363763;5465694;5502453;5341156;5174236;4857326
16;PAÍS VASCO;Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;5425311;5061668;4776394;4682923;4146812;4078926;4159835;4268072;4325501
16;PAÍS VASCO;Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;11497945;11219349;10985016;10679394;10411729;10283154;10143982;10370332;10322301
16;PAÍS VASCO;Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2389023;2415805;2384514;2320829;2177840;2200742;2201161;2251948;2213841
17;RIOJA (LA);Agricultura, ganadería, silvicultura y pesca;392753;371540;328699;461814;447871;397627;372530;379838;399555
17;RIOJA (LA);Industrias extractivas, suministro de energía eléctrica, gas, suministro de agua, actividades de saneamiento, gestión de residuos;2117736;2173998;2166828;2112790;2046652;2053147;2100514;2159993;2060606
17;RIOJA (LA);Industria manufacturera;1871730;1912058;1932653;1871015;1807685;1794883;1822585;1890267;1813044
17;RIOJA (LA);Construcción;523696;465617;443245;430753;421552;412336;493985;584193;697774
17;RIOJA (LA);Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;1487560;1441395;1368236;1322934;1290131;1287529;1316015;1352883;1365987
17;RIOJA (LA);Información y comunicaciones;150214;146386;143779;133968;132314;132612;139738;146901;150343
17;RIOJA (LA);Actividades financieras y de seguros;294732;276488;262959;256609;251244;232972;267393;274662;304739
17;RIOJA (LA);Actividades inmobiliarias;643131;636362;634630;633327;650238;658023;650218;632311;596434
17;RIOJA (LA);Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;387450;360298;341405;329109;297571;276369;285957;291593;285935
